,Countries,Total Cases,Todays Cases,Total Deaths
1,"
North America
","689,117",+473,"30,425"
2,"
Europe
","970,758",+1,"88,319"
3,"
Asia
","333,568",+371,"12,088"
4,"
South America
","63,661",+359,"2,801"
5,"
Oceania
","7,955",+31,72
6,"
Africa
","17,827",,913
7,"

",721,,14
8,World,"2,083,607","+1,235","134,632"
9,USA,"644,089",,"28,529"
10,Spain,"180,659",,"18,812"
11,Italy,"165,155",,"21,645"
12,France,"147,863",,"17,167"
13,Germany,"134,753",,"3,804"
14,UK,"98,476",,"12,868"
15,Iran,"76,389",,"4,777"
16,Turkey,"69,392",,"1,518"
17,Belgium,"33,573",,"4,440"
18,Brazil,"28,912",+302,"1,760"
19,Canada,"28,379",,"1,010"
20,Netherlands,"28,153",,"3,134"
21,Switzerland,"26,336",,"1,239"
22,Russia,"24,490",,198
23,Portugal,"18,091",,599
24,Austria,"14,350",,393
25,Ireland,"12,547",,444
26,Israel,"12,501",,130
27,India,"12,456",+86,422
28,Sweden,"11,927",,"1,203"
29,Peru,"11,475",,254
30,S. Korea,"10,613",+22,229
31,Japan,"8,626",,178
32,Chile,"8,273",,94
33,Ecuador,"7,858",,388
34,Poland,"7,582",,286
35,Romania,"7,216",,372
36,Norway,"6,798",+1,150
37,Denmark,"6,681",,309
38,Pakistan,"6,505",+122,124
39,Australia,"6,462",+15,63
40,Czechia,"6,301",,166
41,Saudi Arabia,"5,862",,79
42,Mexico,"5,847",+448,449
43,Philippines,"5,453",,349
44,UAE,"5,365",,33
45,Indonesia,"5,136",,469
46,Malaysia,"5,072",,83
47,Serbia,"4,873",,99
48,Ukraine,"3,764",,108
49,Panama,"3,751",,103
50,Belarus,"3,728",,36
51,Qatar,"3,711",,7
52,Singapore,"3,699",,10
53,Dominican Republic,"3,614",,189
54,Luxembourg,"3,373",,69
55,Finland,"3,237",,72
56,Colombia,"3,105",,131
57,Thailand,"2,672",+29,46
58,Argentina,"2,571",,112
59,South Africa,"2,506",,34
60,Egypt,"2,505",,183
61,Greece,"2,192",,102
62,Algeria,"2,160",,336
63,Moldova,"2,049",,46
64,Morocco,"2,024",,127
65,Croatia,"1,741",,33
66,Iceland,"1,727",,8
67,Bahrain,"1,671",,7
68,Hungary,"1,579",,134
69,Iraq,"1,415",,79
70,Kuwait,"1,405",,3
71,New Zealand,"1,401",+15,9
72,Estonia,"1,400",,35
73,Kazakhstan,"1,331",+36,16
74,Uzbekistan,"1,302",,4
75,Azerbaijan,"1,253",,13
76,Slovenia,"1,248",,61
77,Bangladesh,"1,231",,50
78,Armenia,"1,111",,17
79,Bosnia and Herzegovina,"1,110",,41
80,Lithuania,"1,091",,30
81,Hong Kong,"1,017",,4
82,North Macedonia,974,,45
83,Oman,910,,4
84,Slovakia,863,,6
85,Cameroon,848,,17
86,Cuba,814,,24
87,Afghanistan,784,,25
88,Tunisia,780,,35
89,Bulgaria,747,,36
90,Cyprus,715,,12
91,Diamond Princess,712,,12
92,Andorra,673,,33
93,Latvia,666,,5
94,Lebanon,658,,21
95,Ivory Coast,654,,6
96,Ghana,641,,8
97,Costa Rica,626,,4
98,Niger,584,,14
99,Burkina Faso,542,,32
100,Albania,494,,25
101,Uruguay,493,,9
102,Kyrgyzstan,466,+17,5
103,Channel Islands,447,,15
104,Bolivia,441,+44,29
105,Djibouti,435,,2
106,Honduras,426,+7,35
107,Nigeria,407,,12
108,Guinea,404,,1
109,Jordan,401,,7
110,Malta,399,,3
111,Taiwan,395,,6
112,San Marino,393,,36
113,Réunion,391,,
114,Palestine,374,,2
115,Mauritius,324,,9
116,Senegal,314,,2
